iter	RMSE
0	6.895389986
1	4.859081782
2	3.627147691
3	2.720360768
4	2.040270576
5	1.530202932
6	1.147652199
7	0.8607391493
8	0.6455543619
9	0.4841657715
10	0.3631243286
11	0.2723432464
12	0.2042574348
13	0.1531930761
14	0.1148948071
15	0.08617110532
16	0.06462832899
17	0.04847124674
18	0.03635343506
19	0.02726507629
20	0.02044880722
21	0.01533660541
22	0.01150245406
23	0.008626840546
24	0.006470130409
25	0.004852597807
26	0.003639448355
27	0.002729586266
28	0.0020471897
29	0.001535392275
30	0.001151544206
31	0.0008636581546
32	0.000647743616
33	0.000485807712
34	0.000364355784
35	0.000273266838
36	0.0002049501285
37	0.0001537125964
38	0.0001152844473
39	8.646333546e-05
40	6.484750159e-05
41	4.863562619e-05
42	3.647671965e-05
43	2.735753973e-05
44	2.05181548e-05
45	1.53886161e-05
46	1.154146208e-05
47	8.656096557e-06
48	6.492072417e-06
49	4.869054312e-06
50	3.651790734e-06
51	2.73884305e-06
52	2.054132288e-06
53	1.540599215e-06
54	1.155449411e-06
55	8.665870573e-07
56	6.499402938e-07
57	4.874552204e-07
58	3.655914162e-07
59	2.741935613e-07
60	2.05645171e-07
61	1.542338782e-07
62	1.156754086e-07
63	8.675655732e-08
64	6.506741789e-08
65	4.880056429e-08
66	3.660042321e-08
67	2.745031699e-08
68	2.058773862e-08
69	1.544080405e-08
70	1.158060348e-08
71	8.685452613e-09
72	6.514090329e-09
73	4.885567756e-09
74	3.664176564e-09
75	2.748133231e-09
76	2.061099954e-09
77	1.545825405e-09
