iter	Passed	Remaining
0	70	70713
1	71	35456
2	71	23686
3	71	17820
4	71	14300
5	72	11952
6	72	10277
7	72	9018
8	73	8040
9	73	7258
10	73	6621
11	74	6105
12	74	5653
13	74	5264
14	75	4927
15	75	4632
16	75	4373
17	75	4143
18	76	3939
19	76	3752
20	76	3583
21	77	3430
22	77	3290
23	77	3161
24	78	3044
25	78	2935
26	78	2834
27	78	2740
28	79	2654
29	79	2573
30	79	2498
31	80	2430
32	80	2370
33	81	2308
34	81	2249
35	81	2193
36	82	2140
37	82	2090
38	82	2042
39	83	1996
40	83	1953
41	83	1911
42	84	1872
43	84	1834
44	84	1799
45	85	1764
46	85	1733
47	85	1704
48	86	1673
49	86	1644
50	86	1616
51	87	1589
52	87	1563
53	87	1538
54	88	1514
55	88	1492
56	88	1469
57	89	1448
58	89	1427
59	89	1406
60	90	1387
61	90	1368
62	90	1350
63	91	1332
64	99	1426
65	100	1419
66	101	1406
67	102	1403
68	103	1391
69	107	1432
70	110	1443
71	111	1433
72	113	1438
73	114	1428
74	115	1418
75	115	1405
76	117	1408
