N;file_name;flag;result
0;IMG_20150712_185744.JPG;Family;0.9696504473686218
1;IMG_20151122_142451.JPG;Family;1.0
2;IMG_20151128_142744.JPG;Family;1.0
3;IMG_20160108_133758.JPG;Family;0.9999997615814209
4;IMG_20160213_175925_1.JPG;Work;0.09321233630180359
5;IMG_20160225_163229.JPG;Family;0.9994080066680908
6;IMG_20160325_105345.JPG;Work;0.7447865605354309
7;IMG_20160422_120208.JPG;Work;0.08962677419185638
8;IMG_20160501_104604.JPG;Family;1.0
9;IMG_20160507_145831.JPG;Family;1.0
10;IMG_20160514_091817.JPG;Work;0.4592413008213043
11;IMG_20160531_111232.JPG;Work;0.1367207020521164
12;IMG_20160603_142755.JPG;Family;0.9881032109260559
13;IMG_20160604_115642.JPG;Family;1.0
14;IMG_20160604_142152.JPG;Family;1.0
15;IMG_20160609_141907.JPG;Work;5.071205608220275e-12
16;IMG_20160609_155625.JPG;Work;0.21094557642936707
17;IMG_20160618_172447.JPG;Work;0.5765925645828247
18;IMG_20160625_144659_1.JPG;Family;0.9999992847442627
19;IMG_20160625_144704_1.JPG;Family;0.9999793767929077
20;IMG_20160629_110519_2.JPG;Work;5.708280070848559e-09
21;IMG_20160710_150411.JPG;Work;0.23644299805164337
22;IMG_20160811_165935.JPG;Family;0.8352897763252258
23;IMG_20160819_154636.JPG;Family;1.0
24;IMG_20160910_122527.JPG;Family;0.9999986886978149
25;IMG_20160911_123546.JPG;Family;0.9935338497161865
26;IMG_20161013_162222.JPG;Work;0.17522002756595612
27;IMG_20161107_193817.JPG;Family;0.9688396453857422
28;IMG_20161107_200023.JPG;Work;0.05395257845520973
29;IMG_20170103_223432.jpg;Family;1.0
30;IMG_20170119_094915.JPG;Family;0.9994099140167236
31;IMG_20170315_093922.JPG;Work;0.7725910544395447
32;IMG_20170612_175607.JPG;Family;1.0
33;IMG_20170909_130106.JPG;Family;1.0
34;IMG_20171115_183650.JPG;Work;0.3469657599925995
35;IMG_20180104_154335.JPG;Family;0.999840259552002
36;IMG_20180207_122241.JPG;Work;0.07308479398488998
37;IMG_20180210_135205.JPG;Family;1.0
38;IMG_20180401_175306.JPG;Family;1.0
39;IMG_20180407_171012.JPG;Family;1.0
40;IMG_20180414_124835.JPG;Family;1.0
41;IMG_20180426_115754.JPG;Work;0.7830849289894104
42;IMG_20180428_133838.jpg;Family;0.9870031476020813
43;IMG_20180430_182224.JPG;Family;0.9999610185623169
44;IMG_20180504_161736.JPG;Family;1.0
45;IMG_20180614_120044.jpg;Work;0.10959097743034363
46;IMG_20180614_145947.jpg;Work;1.0551379908685377e-10
47;IMG_20180622_133826.jpg;Work;0.49699148535728455
48;IMG_20180703_163034.JPG;Work;0.4688096046447754
49;IMG_20180706_122337.jpg;Work;2.0153117930021835e-06
50;IMG_20180830_132309.JPG;Family;0.9561095833778381
51;IMG_20180831_101743.jpg;Work;0.2684935927391052
52;IMG_20180907_083348.JPG;Family;0.8325788378715515
53;IMG_20181008_111941.JPG;Work;0.6124704480171204
54;IMG_20181018_114724.JPG;Work;0.34938424825668335
55;IMG_20181108_120005.JPG;Family;0.9986901879310608
56;IMG_20181124_202241.JPG;Family;1.0
57;IMG_20181204_113750.jpg;Family;0.9766367077827454
58;IMG_20181213_110028.JPG;Family;0.9762154817581177
59;IMG_20190123_152830.JPG;Work;2.564665010140743e-06
60;IMG_20190212_163449.JPG;Family;0.9932061433792114
61;IMG_20190225_100813.JPG;Family;0.9934025406837463
62;IMG_20190302_172528.jpg;Family;0.8940331935882568
63;IMG_20190405_124549.jpg;Family;0.8383450508117676
64;IMG_20190611_231239.JPG;Family;0.9907671213150024
65;IMG_20190613_095903.JPG;Work;0.6743658185005188
66;IMG_20190621_093631.jpg;Work;0.32492414116859436
67;IMG_20190703_142454.JPG;Family;0.9999504089355469
68;IMG_20190726_130412.JPG;Work;4.255210569681367e-06
69;IMG_20190805_094340.JPG;Work;0.0001247990585397929
70;IMG_20190920_150505.JPG;Family;0.9999997615814209
71;IMG_20191008_130255.JPG;Work;0.7650373578071594
72;IMG_20191008_130303.JPG;Work;0.3272867798805237
73;IMG_20191016_123706.JPG;Family;0.9999995231628418
74;IMG_20191026_090002.JPG;Family;0.999985933303833
75;IMG_20191030_164259.jpg;Family;0.8131539225578308
76;IMG_20191031_123221.JPG;Work;2.3509736379878632e-08
77;IMG_20191112_182101.JPG;Family;1.0
78;IMG_20191113_202546.JPG;Family;1.0
79;IMG_20200310_151427.JPG;Work;0.12847065925598145
80;IMG_20200429_093705.JPG;Family;0.9993708729743958
81;IMG_20200430_112220.JPG;Family;0.9999991655349731
82;IMG_20200602_124616.JPG;Family;0.9966126084327698
83;IMG_20200803_164750.JPG;Work;0.07157620787620544
84;IMG_20200808_130619.JPG;Family;1.0
85;IMG_20200825_095931.JPG;Family;0.9999712705612183
86;IMG_20200906_141616.jpg;Work;0.0031022720504552126
87;IMG_20151022_130858.JPG;Family;0.9999765157699585
88;IMG_20151231_153137.JPG;Family;0.9979496598243713
89;IMG_20151115_205637.JPG;Family;0.9999998807907104
90;IMG_20160604_155856.JPG;Work;0.0005836672498844564
91;IMG_20160103_144424.JPG;Family;1.0
92;IMG_20160410_162838.JPG;Family;0.9999575614929199
93;IMG_20160416_192357_1.JPG;Family;1.0
94;IMG_20160503_170906.JPG;Family;0.9999998807907104
95;IMG_20160509_181615.JPG;Family;1.0
96;IMG_20160605_191238.JPG;Family;1.0
97;IMG_20160616_181425.JPG;Work;4.654818544502781e-11
98;IMG_20160624_105654.JPG;Family;1.0
99;IMG_20161027_132201.JPG;Family;0.8475125432014465
100;IMG_20161101_185143.JPG;Family;0.9967657327651978
101;IMG_20161107_195919.JPG;Family;0.9985430240631104
102;IMG_20161219_153706.JPG;Family;0.8933777213096619
103;IMG_20170129_135404.JPG;Family;1.0
104;IMG_20170612_183852.JPG;Family;1.0
105;IMG_20170619_160359.JPG;Family;0.9969326257705688
106;IMG_20170715_195713.JPG;Family;0.8329401016235352
107;IMG_20170810_164527.JPG;Family;1.0
108;IMG_20170902_125732.JPG;Family;0.9999992847442627
109;IMG_20171111_193422.JPG;Family;0.9973336458206177
110;IMG_20171111_200322.JPG;Family;0.998855471611023
111;IMG_20171112_164521.JPG;Family;0.9992105960845947
112;IMG_20171115_162341.JPG;Family;0.9958325028419495
113;IMG_20171123_163006.JPG;Family;1.0
114;IMG_20180102_213615.JPG;Family;0.9999997615814209
115;IMG_20180120_162552.JPG;Family;0.9798752069473267
116;IMG_20191112_165040.JPG;Family;1.0
117;IMG_20180207_102331.JPG;Work;0.0029771095141768456
118;IMG_20180310_213927.JPG;Family;1.0
119;IMG_20180401_164556.JPG;Family;0.947353184223175
120;IMG_20180415_131305.JPG;Family;0.9999603033065796
121;IMG_20180507_211202.JPG;Family;0.9996975660324097
122;IMG_20180520_160312.JPG;Family;1.0
123;IMG_20180719_121959.JPG;Family;0.9975728392601013
124;IMG_20180811_161510.JPG;Family;1.0
125;IMG_20180830_131948.JPG;Family;0.9950533509254456
126;IMG_20180830_132438.JPG;Family;0.9912147521972656
127;IMG_20180830_132444.JPG;Family;0.9978122711181641
128;IMG_20180922_172339.JPG;Family;1.0
129;IMG_20180928_162149.jpg;Work;0.04168784245848656
130;IMG_20181013_132840.JPG;Family;0.9999940395355225
131;IMG_20181013_132858.JPG;Family;0.9999006986618042
132;IMG_20181028_104249_1.jpg;Family;0.8200560212135315
133;IMG_20181031_102423.JPG;Family;0.9999998807907104
134;IMG_20181105_151326.JPG;Family;1.0
135;IMG_20181213_144122.JPG;Family;0.866715133190155
136;IMG_20190118_132538.JPG;Work;2.1287483832566068e-05
137;IMG_20190124_163131.JPG;Work;1.5742355335968128e-11
138;IMG_20190225_080355.JPG;Work;0.17746390402317047
139;IMG_20190304_144103.jpg;Work;0.006384850479662418
140;IMG_20190523_120955.JPG;Work;0.2169075757265091
141;IMG_20190527_130503.JPG;Work;0.16170108318328857
142;IMG_20200203_114727.JPG;Family;0.9932101368904114
143;IMG_20200228_103858.JPG;Family;0.9999814033508301
144;IMG_20200410_092340.JPG;Work;0.028271377086639404
145;IMG_20200420_105312.JPG;Family;0.8037136793136597
146;IMG_20200430_095743.JPG;Work;0.0025629994925111532
147;IMG_20200507_135959.JPG;Family;1.0
148;IMG_20200607_165518.JPG;Family;0.9999995231628418
149;IMG_20150527_182755.JPG;Family;1.0
150;IMG_20151216_192402.JPG;Family;1.0
151;IMG_20150918_204251.JPG;Work;0.785035252571106
152;IMG_20151231_234603.JPG;Family;1.0
153;IMG_20150825_170207.JPG;Family;1.0
154;IMG_20151128_175629.JPG;Family;0.9998501539230347
155;IMG_20160209_195546.JPG;Work;0.12750287353992462
156;IMG_20160502_113650.JPG;Family;1.0
157;IMG_20160607_122259.JPG;Work;5.451329491978907e-12
158;IMG_20160614_212653.JPG;Family;1.0
159;IMG_20190808_155632.JPG;Family;1.0
160;IMG_20160625_144801.JPG;Family;1.0
161;IMG_20160629_143110.JPG;Work;0.4779636859893799
162;IMG_20160630_171958.JPG;Work;3.596385071257674e-13
163;IMG_20160720_183650.JPG;Family;0.998916745185852
164;IMG_20160804_132324.JPG;Family;0.9981516003608704
165;IMG_20160827_103341.JPG;Family;1.0
166;IMG_20160910_130050.JPG;Family;1.0
167;IMG_20161111_150724.JPG;Work;0.03300084173679352
168;IMG_20161220_174255.JPG;Family;0.9999896287918091
169;IMG_20170115_162933.JPG;Family;0.9999995231628418
170;IMG_20170212_183200.JPG;Work;2.617526320136676e-07
171;IMG_20170808_152036.JPG;Family;1.0
172;IMG_20170902_181400.JPG;Family;1.0
173;IMG_20170915_135702.JPG;Family;1.0
174;IMG_20170915_135716.JPG;Family;1.0
175;IMG_20171111_185250.JPG;Work;0.7558050751686096
176;IMG_20171201_172033.JPG;Work;0.7305387854576111
177;IMG_20180210_120551.JPG;Family;1.0
178;IMG_20180302_150513.JPG;Family;0.9946151375770569
179;IMG_20180309_161135.JPG;Family;0.9850482940673828
180;IMG_20180411_152105.JPG;Family;0.9978663325309753
181;IMG_20180422_203056.JPG;Family;0.9999992847442627
182;IMG_20180510_093358.JPG;Family;0.9953912496566772
183;IMG_20180525_103349.JPG;Work;8.332153811352327e-06
184;IMG_20180525_122549.jpg;Work;6.154039624561847e-07
185;IMG_20180703_112115.jpg;Work;0.736979067325592
186;IMG_20180703_132829.jpg;Work;3.689952787766515e-09
187;IMG_20180830_132248.JPG;Family;0.9956943988800049
188;IMG_20180901_150843.jpg;Family;0.9998911619186401
189;IMG_20180920_093703_1.jpg;Work;0.007694391068071127
190;IMG_20181001_110000.jpg;Work;0.36758387088775635
191;IMG_20181006_185304.JPG;Family;1.0
192;IMG_20181013_133514.JPG;Family;0.9999994039535522
193;IMG_20181013_134107.JPG;Family;0.9995538592338562
194;IMG_20181018_135130.JPG;Work;0.30160364508628845
195;IMG_20181213_105410.JPG;Family;0.9996837377548218
196;IMG_20190124_094943.JPG;Work;0.008917753584682941
197;IMG_20190124_161907.JPG;Work;0.0006806853343732655
198;IMG_20190207_172742.JPG;Family;0.8193585872650146
199;IMG_20190219_102441.JPG;Family;0.9999847412109375
200;IMG_20190221_141834.JPG;Family;0.9892174005508423
201;IMG_20190222_125931.JPG;Work;0.33601269125938416
202;IMG_20190228_113157.JPG;Work;0.2615527808666229
203;IMG_20190314_184616.JPG;Work;0.5802196264266968
204;IMG_20190509_121423.JPG;Family;0.9997559189796448
